Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],p_c_down,p_c_up,w_en,p_c_left,e_cd_reg[1:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,p_c_right,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,move_cnt_reg[3:0],<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,motion_timer_reg[21:0],e_state_reg[2:0],<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>_39,<const0>_40,<const0>_41,<const0>_42,<const0>_43,<const0>,random_16_1[15:0],random_16[15:0],data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,328,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a517,a517,4a2f
1,1,0,329,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4a2f,4a2f,945e
2,2,0,329,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945e,945e,28bd
3,3,0,329,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28bd,28bd,517b
4,4,0,329,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517b,517b,a2f7
5,5,0,330,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2f7,a2f7,45ee
6,6,0,330,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45ee,45ee,8bdd
7,7,0,330,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8bdd,8bdd,17bb
8,8,0,330,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17bb,17bb,2f76
9,9,0,331,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c466f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f76,2f76,5eec
10,10,0,331,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eec,5eec,bdd8
11,11,0,331,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdd8,bdd8,7bb0
12,12,0,331,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7bb0,7bb0,f760
13,13,0,332,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f760,f760,eec0
14,14,0,332,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eec0,eec0,dd81
15,15,0,332,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dd81,dd81,bb03
16,16,0,332,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bb03,bb03,7607
17,17,0,333,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7607,7607,ec0f
