Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],vsync_OBUF,hsync_OBUF,display_on,pixel_tick,x_e_reg[9:0],y_e_reg[9:0],move_cnt_reg[3:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,motion_timer_reg[20:0],e_state_reg[2:0],<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dbf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,643,150,1,0,1,1,0d0,212,3,0,0,0,0,0,0,0,0,0e2dd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,643,150,1,0,1,0,0d0,212,3,0,0,0,0,0,0,0,0,0e2dd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
